sequence,value
Apply-NotificationProfileViews-ProfileViews-ViewSimilarJobs-end,1
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-Notification-Edit-end,1
Apply-UpdateFlow-ViewSimilarJobs-RateApp-Search-end,1
Apply-Notification-NotificationJobAlert-Edit-Search-end,1
Apply-UpdateFlow-ViewSimilarJobs-Notification-NotificationProfileViews-end,1
Apply-UpdateFlow-FeedbackSend-ViewSimilarJobs-end,2
Apply-Notification-NotificationJobAlert-Search-SaveJobAlert-end,1
Apply-UpdateFlowSkip-UpdateFlow-end,461
Apply-UpdateFlow-GCMOpened-Edit-end,1
Apply-UpdateFlow-Notification-Search-ViewSimilarJobs-end,1
Apply-UpdateFlowSkip-Notification-ProfileViews-end,1
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-Edit-end,4
Apply-UpdateFlow-Edit-end,21
Apply-ViewSimilarJobs-NotificationRecruiterMail-GCMOpened-end,1
Apply-UpdateFlow-Add-end,1
Apply-UpdateFlow-RateApp-Search-end,2
Apply-UpdateFlowSkip-RateApp-NotificationProfileViews-end,1
Apply-Notification-NotificationJobAlert-NotificationProfileViews-Search-end,1
Apply-Notification-RateApp-end,2
Apply-UpdateFlowSkip-NotificationRecruiterMail-end,1
Apply-UpdateFlowSkip-UpdateFlow-Edit-Delete-Notification-end,1
Apply-Notification-NotificationRecruiterMail-Savejobs-ShareJob-Edit-end,1
Apply-Notification-NotificationJobAlert-Edit-end,6
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationProfileViews-NotificationRecruiterMail-end,1
Apply-UpdateFlowSkip-CareerPlusAdClick-end,1
Apply-Notification-NotificationProfileViews-Edit-Delete-end,1
Apply-FeedbackSend-Notification-NotificationRecruiterMail-NotificationProfileViews-end,1
Apply-UpdateFlowSkip-NotificationJobAlert-end,9
Apply-UpdateFlow-Notification-NotificationProfileViews-NotificationJobAlert-ViewSimilarJobs-end,1
Apply-Notification-NotificationJobAlert-NotificationProfileViews-ProfileViews-RateApp-end,1
Apply-ViewSimilarJobs-EmailVerify-Edit-end,1
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-NotificationRecruiterMail-GCMOpened-end,1
Apply-UpdateFlowSkip-UpdateFlow-Delete-Edit-Notification-end,1
Apply-Notification-NotificationJobAlert-NotificationProfileViews-ProfileViews-Search-end,1
Apply-RateApp-Search-end,12
Apply-ViewSimilarJobs-Notification-UpdateFlow-end,2
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationJobAlert-NotificationProfileViews-end,5
Apply-UpdateFlow-ViewSimilarJobs-Search-NotificationJobAlert-end,1
Apply-ViewSimilarJobs-UpdateFlow-Search-Edit-end,1
Apply-Email-Savejobs-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Delete-NotificationJobAlert-end,1
Apply-Notification-NotificationProfileViews-ProfileViews-Search-end,3
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationJobAlert-ViewSimilarJobs-end,2
Apply-ProfileViews-GCMOpened-end,2
Apply-ViewSimilarJobs-CareerPlusAdClick-end,1
Apply-NotificationRecruiterMail-NotificationProfileViews-Search-end,1
Apply-Notification-NotificationJobAlert-Search-end,12
Apply-Notification-NotificationProfileViews-GCMOpened-end,1
Apply-NotificationRecruiterMail-NotificationProfileViews-ProfileViews-UpdateFlow-Edit-end,1
Apply-Notification-NotificationProfileViews-NotificationRecruiterMail-Edit-end,1
Apply-Logout-HomeMenuLoggedOut-LoginAttempt-Search-end,1
Apply-ViewSimilarJobs-Search-Edit-Delete-end,1
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-end,57
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationRecruiterMail-end,5
Apply-UpdateFlow-Notification-NotificationRecruiterMail-RateApp-end,1
Apply-NotificationProfileViews-NotificationJobAlert-GCMOpened-end,1
Apply-Notification-NotificationJobAlert-NotificationProfileViews-Search-ViewSimilarJobs-end,1
Apply-NotificationRecruiterMail-Notification-end,1
Apply-Notification-NotificationJobAlert-EmailVerify-end,1
Apply-RateApp-Notification-end,7
Apply-RateApp-NotificationRecruiterMail-NotificationJobAlert-UpdateFlow-UpdateFlowSkip-end,1
Apply-UpdateFlowSkip-RateApp-Notification-NotificationProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Delete-Edit-end,1
Apply-UpdateFlow-Delete-end,2
Apply-Notification-NotificationJobAlert-NotificationRecruiterMail-Search-UpdateFlow-end,1
Apply-UpdateFlowSkip-UpdateFlow-ShareJob-end,1
Apply-Search-UpdateFlowSkip-NotificationProfileViews-end,1
Apply-UpdateFlow-ViewSimilarJobs-FeedbackSend-end,1
Apply-NotificationProfileViews-Search-UpdateFlow-RateApp-ViewSimilarJobs-end,1
Apply-UpdateFlow-Delete-Edit-ViewSimilarJobs-end,1
Apply-ViewSimilarJobs-Edit-Delete-end,1
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-ProfileViews-end,1
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-NotificationRecruiterMail-NotificationProfileViews-end,9
Apply-Notification-Edit-RateApp-ViewSimilarJobs-end,1
Apply-ViewSimilarJobs-ShineLearning-Notification-end,1
Apply-UpdateFlow-Logout-HomeMenuLoggedOut-LoginAttempt-end,1
Apply-ViewSimilarJobs-end,481
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationProfileViews-NotificationRecruiterMail-end,1
Apply-Edit-end,72
Apply-UpdateFlow-ProfileViews-NotificationProfileViews-end,1
Apply-UpdateFlow-FeedbackSend-end,7
Apply-RateApp-ViewSimilarJobs-Search-end,1
Apply-UpdateFlowSkip-NotificationProfileViews-NotificationRecruiterMail-end,2
Apply-UpdateFlowSkip-ViewSimilarJobs-Search-Notification-NotificationJobAlert-end,1
Apply-ShareJob-Notification-NotificationRecruiterMail-end,1
Apply-UpdateFlow-UpdateFlowSkip-GCMOpened-end,12
Apply-Notification-Edit-Delete-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-Notification-NotificationProfileViews-NotificationRecruiterMail-end,1
Apply-UpdateFlow-Notification-NotificationRecruiterMail-NotificationJobAlert-end,1
Apply-UpdateFlowSkip-Search-FeedbackSend-end,1
Apply-UpdateFlow-Notification-NotificationJobAlert-NotificationRecruiterMail-end,2
Apply-Search-NotificationJobAlert-NotificationRecruiterMail-end,1
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-Search-ViewSimilarJobs-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-Search-end,6
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-RateApp-Notification-end,3
Apply-UpdateFlowSkip-end,1609
Apply-TutorialScreen-end,1
Apply-GCMOpened-Edit-end,3
Apply-Search-RateApp-end,8
Apply-Notification-NotificationJobAlert-RateApp-end,4
Apply-UpdateFlowSkip-NotificationRecruiterMail-Edit-end,1
Apply-UpdateFlowSkip-UpdateFlow-FeedbackSend-Notification-NotificationJobAlert-end,1
Apply-Notification-NotificationProfileViews-NotificationJobAlert-end,10
Apply-UpdateFlow-UpdateFlowSkip-NotificationProfileViews-NotificationRecruiterMail-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-NotificationJobAlert-Edit-end,1
Apply-UpdateFlow-Delete-Notification-NotificationJobAlert-end,1
Apply-UpdateFlow-UpdateFlowSkip-NotificationJobAlert-end,1
Apply-UpdateFlow-NotificationProfileViews-Edit-end,1
Apply-RateApp-ViewSimilarJobs-end,25
Apply-Notification-NotificationProfileViews-ViewSimilarJobs-RateApp-ProfileViews-end,1
Apply-Savejobs-Search-SaveJobAlert-end,1
Apply-GCMOpened-ProfileViews-end,3
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-Notification-NotificationRecruiterMail-end,2
